pais;provincia;departamento;año;modelo;actividad;margen_bruto_($/ha);resultado_neto_($/ha);ingreso_neto_($/ha);gastos_directos_($/ha);costos_indirectos_($/ha);eficiencia_stock_(%);producción_(kg/ha);destete_(%);carga_(kg/ha);;;
Argentina;La Pampa;Maraco;2018;pampeana subhumeda;invernada;2293;-230;5956;3663;2522;53;260;-99999;492;;;147
Argentina;La Pampa;Quemu Quemu;2018;pampeana subhumeda;invernada;2293;-230;5956;3663;2522;53;260;-99999;492;;;
Argentina;La Pampa;Rancul;2018;pampeana subhumeda;invernada;2293;-230;5956;3663;2522;53;260;-99999;492;;;
Argentina;La Pampa;Realico;2018;pampeana subhumeda;invernada;2293;-230;5956;3663;2522;53;260;-99999;492;;;
Argentina;La Pampa;Trenel;2018;pampeana subhumeda;invernada;2293;-230;5956;3663;2522;53;260;-99999;492;;;
Argentina;San Luis;General Pedernera;2018;pampeana subhumeda;ciclo completo;1210;709;1936;726;500;35;65;75;186;;;112
Argentina;San Luis;Gobernador Dupuy;2018;pampeana subhumeda;ciclo completo;1210;709;1936;726;500;35;65;75;186;;;133
Argentina;Salta;Cachi;2018;salta;cria;319;11;493;173;308;24;17;55;71;;;
Argentina;Salta;Cafayate;2018;salta;cria;319;11;493;173;308;24;17;55;71;;;
Argentina;Salta;Capital;2018;salta;cria;319;11;493;173;308;24;17;55;71;;;
Argentina;Salta;Cerrillos;2018;salta;cria;319;11;493;173;308;24;17;55;71;;;
Argentina;Salta;General Guemes;2018;salta;cria;319;11;493;173;308;24;17;55;71;;;
Argentina;Salta;General Jose De San Martin;2018;salta;cria;319;11;493;173;308;24;17;55;71;;;
Argentina;Salta;Guachipas;2018;salta;cria;319;11;493;173;308;24;17;55;71;;;
Argentina;Salta;La Caldera;2018;salta;cria;319;11;493;173;308;24;17;55;71;;;
Argentina;Salta;La Candelaria;2018;salta;cria;319;11;493;173;308;24;17;55;71;;;
Argentina;Salta;La Poma;2018;salta;cria;319;11;493;173;308;24;17;55;71;;;
Argentina;Salta;La Viña;2018;salta;cria;319;11;493;173;308;24;17;55;71;;;
Argentina;Salta;Rosario De La Frontera;2018;salta;cria;319;11;493;173;308;24;17;55;71;;;77
Argentina;Santa Fe;Belgrano;2018;santa fe centro;invernada;1731;352;3048;1317;1379;39;125;-99999;322;;;7
Argentina;Santa Fe;Castellanos;2018;santa fe centro;invernada;1731;352;3048;1317;1379;39;125;-99999;322;;;14
Argentina;Santa Fe;Iriondo;2018;santa fe centro;invernada;1731;352;3048;1317;1379;39;125;-99999;322;;;21
Argentina;Santa Fe;La Capital;2018;santa fe centro;invernada;1731;352;3048;1317;1379;39;125;-99999;322;;;28
Argentina;Santa Fe;Las Colonias;2018;santa fe centro;invernada;1731;352;3048;1317;1379;39;125;-99999;322;;;35
Argentina;Santa Fe;Rosario;2018;santa fe centro;invernada;1731;352;3048;1317;1379;39;125;-99999;322;;;49
Argentina;Santa Fe;San Cristobal;2018;santa fe centro;invernada;1731;352;3048;1317;1379;39;125;-99999;322;;;56
Argentina;Santa Fe;San Jeronimo;2018;santa fe centro;invernada;1731;352;3048;1317;1379;39;125;-99999;322;;;63
Argentina;Santa Fe;San Lorenzo;2018;santa fe centro;invernada;1731;352;3048;1317;1379;39;125;-99999;322;;;70
Argentina;Santa Fe;San Martin;2018;santa fe centro;invernada;1731;352;3048;1317;1379;39;125;-99999;322;;;84
Argentina;Santiago Del Estero;Rivadavia;2018;santa fe centro;invernada;1731;352;3048;1317;1379;39;125;-99999;322;;;42
Argentina;Santiago Del Estero;Aguirre;2018;santiago del estero;cria;567;79;806;239;488;27;27;60;101;;;91
Argentina;Santiago Del Estero;Atamisqui;2018;santiago del estero;cria;567;79;806;239;488;27;27;60;101;;;98
Argentina;Santiago Del Estero;Avellaneda;2018;santiago del estero;cria;567;79;806;239;488;27;27;60;101;;;105
Argentina;Santiago Del Estero;Belgrano;2018;santiago del estero;cria;567;79;806;239;488;27;27;60;101;;;112
Argentina;Santiago Del Estero;Capital;2018;santiago del estero;cria;567;79;806;239;488;27;27;60;101;;;119
Argentina;Santiago Del Estero;Choya;2018;santiago del estero;cria;567;79;806;239;488;27;27;60;101;;;126
Argentina;Santiago Del Estero;Figueroa;2018;santiago del estero;cria;567;79;806;239;488;27;27;60;101;;;133
Argentina;Santiago Del Estero;Guayasan;2018;santiago del estero;cria;567;79;806;239;488;27;27;60;101;;;
Argentina;Santiago Del Estero;Jimenez;2018;santiago del estero;cria;567;79;806;239;488;27;27;60;101;;;
Argentina;Santiago Del Estero;Juan F. Ibarra;2018;santiago del estero;cria;567;79;806;239;488;27;27;60;101;;;
Argentina;Santiago Del Estero;La Banda;2018;santiago del estero;cria;567;79;806;239;488;27;27;60;101;;;
Argentina;Santiago Del Estero;Loreto;2018;santiago del estero;cria;567;79;806;239;488;27;27;60;101;;;
Argentina;Santiago Del Estero;Mitre;2018;santiago del estero;cria;567;79;806;239;488;27;27;60;101;;;
Argentina;Santiago Del Estero;Ojo De Agua;2018;santiago del estero;cria;567;79;806;239;488;27;27;60;101;;;
Argentina;Santiago Del Estero;Pellegrini;2018;santiago del estero;cria;567;79;806;239;488;27;27;60;101;;;
Argentina;Santiago Del Estero;Quebrachos;2018;santiago del estero;cria;567;79;806;239;488;27;27;60;101;;;
Argentina;Santiago Del Estero;Robles;2018;santiago del estero;cria;567;79;806;239;488;27;27;60;101;;;
Argentina;Santiago Del Estero;Salavina;2018;santiago del estero;cria;567;79;806;239;488;27;27;60;101;;;
Argentina;Santiago Del Estero;San Martin;2018;santiago del estero;cria;567;79;806;239;488;27;27;60;101;;;
Argentina;Santiago Del Estero;Sarmiento;2018;santiago del estero;cria;567;79;806;239;488;27;27;60;101;;;
Argentina;Santiago Del Estero;Silipica;2018;santiago del estero;cria;567;79;806;239;488;27;27;60;101;;;
Argentina;Chubut;Languineo;2018;patagonia - precordillera;cria;86;-33;214;128;118;37;7;70;19;;;
Argentina;Chubut;Tehuelches;2018;patagonia - precordillera;cria;86;-33;214;128;118;37;7;70;19;;;
Argentina;Chubut;Rio Senguer;2018;patagonia - precordillera;cria;86;-33;214;128;118;37;7;70;19;;;
Argentina;Rio Negro;Conesa;2018;patagonia - monte oriental;cria;127;-5;254;127;132;26;8;60;32;;;
Argentina;Rio Negro;Adolfo Alsina;2018;patagonia - monte oriental;cria;127;-5;254;127;132;26;8;60;32;;;
Argentina;Rio Negro;Avellaneda;2018;patagonia - monte oriental;cria;127;-5;254;127;132;26;8;60;32;;;
Argentina;Rio Negro;Pichi Mahuida;2018;patagonia - monte oriental;cria;127;-5;254;127;132;26;8;60;32;;;
Argentina;Corrientes;San Martin;2018;corrientes nor-este;ciclo completo;484;249;798;314;235;20;29;50;144;;;
